,Element_Type,Occurence
1,Ir,1159
2,Ru,661
3,Co,284
4,Ni,142
5,Mn,116
6,Sr,101
7,Cu,93
8,Pt,88
9,Na,82
10,Ti,81
11,Sn,73
12,Y,65
13,Mo,61
14,Fe,60
15,Sb,55
16,S,55
17,W,48
18,Pd,44
19,Zn,38
20,Ta,33
21,Au,32
22,Ce,30
23,La,28
24,Ba,27
25,Li,25
26,Nb,25
27,F,23
28,K,20
29,Rh,17
30,Se,15
31,Te,15
32,Cr,15
33,Ag,15
34,Si,15
35,Pb,14
36,Pr,14
37,P,13
38,Zr,13
39,Lu,12
40,Ca,11
41,Mg,10
42,Bi,10
43,Er,10
44,B,9
45,Nd,9
46,Gd,9
47,C,7
48,N,6
49,Os,4
50,Ho,4
51,Tm,4
52,V,3
53,In,3
54,Ga,2
55,Eu,2
56,Sc,2
57,Tb,1
58,Sm,1
59,Cl,1
60,Br,1
61,Al,1
62,Cd,1
